2025-09-19 22:44:37 | features=[0, 0, 0, 58.5, 32.5, 0.44890064092034615, 12] | ML=2 [0.053, 0.397, 0.55] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:38 | features=[0, 0, 0, 0, 0, 0.5612565782679287, 7] | ML=2 [0.0, 0.25, 0.75] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:38 | features=[0, 0, 0, 0, 0, 0.5612565782679287, 7] | ML=2 [0.0, 0.25, 0.75] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:38 | features=[0, 0, 0, 0, 0, 0.5612565782679287, 7] | ML=2 [0.0, 0.25, 0.75] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:38 | features=[0, 0, 0, 0, 0, 0.5612565782679287, 7] | ML=2 [0.0, 0.25, 0.75] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:39 | features=[0, 0, 0, 0, 0, 0.5612565782679287, 7] | ML=2 [0.0, 0.25, 0.75] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:39 | features=[0, 0, 0, 0, 0, 0.5612565782679287, 7] | ML=2 [0.0, 0.25, 0.75] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:39 | features=[0, 0, 0, 0, 0, 0.5612565782679287, 7] | ML=2 [0.0, 0.25, 0.75] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:40 | features=[0, 0, 0, 0, 0, 0.5612565782679287, 7] | ML=2 [0.0, 0.25, 0.75] | Final=SPOOFED [0.05, 0.85, 0.1]
2025-09-19 22:44:40 | features=[0, 0, 0, 15, 20, 0, 0] | ML=2 [0.0, 0.0, 1.0] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:41 | features=[0, 0, 0, 17, 22, 0, 0] | ML=2 [0.0, 0.0, 1.0] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:41 | features=[0, 0, 0, 19, 24, 0, 0] | ML=2 [0.0, 0.0, 1.0] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:42 | features=[0, 0, 0, 21, 26, 0, 0] | ML=2 [0.0, 0.0, 1.0] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:42 | features=[0, 0, 0, 23, 28, 0, 0] | ML=2 [0.0, 0.0, 1.0] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:43 | features=[0, 0, 0, 25, 30, 0, 0] | ML=2 [0.0, 0.0, 1.0] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:43 | features=[0, 0, 0, 25, 30, 0, 0] | ML=2 [0.0, 0.0, 1.0] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:43 | features=[0, 0, 0, 40, 50, 0, 0] | ML=2 [0.147, 0.117, 0.737] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:44 | features=[0, 0, 0, 42, 52, 0, 0] | ML=2 [0.147, 0.117, 0.737] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:44 | features=[0, 0, 0, 57, 72, 0, 0] | ML=0 [0.51, 0.2, 0.29] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:45 | features=[0, 0, 0, 59, 74, 0, 0] | ML=0 [0.51, 0.2, 0.29] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:45 | features=[0, 0, 0, 59, 74, 0, 0] | ML=0 [0.51, 0.2, 0.29] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:45 | features=[0, 0, 0, 74, 94, 0, 0] | ML=0 [0.813, 0.14, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:46 | features=[0, 0, 0, 76, 96, 0, 0] | ML=0 [0.817, 0.137, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
